Address,Price,Details
"Godean, Sleman",Rp 1.125.000.000,3                                Kamar tidur                                    90 m?                                Bangunan                                     108 m?                                Lahan
"Moyudan, Sleman",Rp 532.000.000,2                                Kamar tidur                                    40 m?                                Bangunan                                     168 m?                                Lahan
"Gamping, Sleman",Rp 850.000.000,3                                Kamar tidur                                    80 m?                                Bangunan                                     100 m?                                Lahan
"Mlati, Sleman",Rp 697.000.000,3                                Kamar tidur                                    62 m?                                Bangunan                                     109 m?                                Lahan
Yogyakarta,Rp 1.650.000.000,3                                Kamar tidur                                    140 m?                                Bangunan                                     114 m?                                Lahan
Kotagede,Rp 690.000.000,3                                Kamar tidur                                    100 m?                                Bangunan                                     105 m?                                Lahan
"Pandak, Bantul",Rp 335.000.000,2                                Kamar tidur                                    45 m?                                Bangunan                                     100 m?                                Lahan
"Bantul, Bantul",Rp 570.000.000,2                                Kamar tidur                                    45 m?                                Bangunan                                     100 m?                                Lahan
"Tempel, Sleman",Rp 480.000.000,2                                Kamar tidur                                    45 m?                                Bangunan                                     100 m?                                Lahan
"Depok, Sleman",Rp 1.185.000.000,3                                Kamar tidur                                    105 m?                                Bangunan                                     100 m?                                Lahan
"Purwo martani, Sleman",Rp 240.000.000,2                                Kamar tidur                                    36 m?                                Bangunan                                     70 m?                                Lahan
"Bantul, Bantul",Rp 240.000.000,2                                Kamar tidur                                    36 m?                                Bangunan                                     70 m?                                Lahan
"Depok, Sleman",Rp 3.600.000.000,5                                Kamar tidur                                    190 m?                                Bangunan                                     158 m?                                Lahan
"Sewon, Bantul",Rp 385.000.000,3                                Kamar tidur                                    54 m?                                Bangunan                                     98 m?                                Lahan
"Kalasan, Sleman",Rp 1.100.000.000,3                                Kamar tidur                                    80 m?                                Bangunan                                     93 m?                                Lahan
"Mlati, Sleman",Rp 485.000.000,2                                Kamar tidur                                    36 m?                                Bangunan                                     101 m?                                Lahan
"Bantul, Bantul",Rp 350.000.000,2                                Kamar tidur                                    50 m?                                Bangunan                                     118 m?                                Lahan
"Prambanan, Sleman",Rp 375.000.000,2                                Kamar tidur                                    36 m?                                Bangunan                                     71 m?                                Lahan
"Ngaglik, Sleman",Rp 695.000.000,3                                Kamar tidur                                    53 m?                                Bangunan                                     111 m?                                Lahan
Gunung Kidul,Rp 380.000.000,2                                Kamar tidur                                    45 m?                                Bangunan                                     84 m?                                Lahan
Yogyakarta,Rp 1.225.000.000,5                                Kamar tidur                                    220 m?                                Bangunan                                     189 m?                                Lahan
